"Category","Hist. 1950-2014","Historical 10-90% range (low)","Historical 10-90% range (high)","SSP1-1.9","SSP1-1.9 10-90% range (low)","SSP1-1.9 10-90% range (high)","SSP1-2.6","SSP1-2.6 10-90% range (low)","SSP1-2.6 10-90% range (high)","SSP2-4.5","SSP2-4.5 10-90% range (low)","SSP2-4.5 10-90% range (high)","SSP3-7.0","SSP3-7.0 10-90% range (low)","SSP3-7.0 10-90% range (high)","SSP5-8.5","SSP5-8.5 10-90% range (low)","SSP5-8.5 10-90% range (high)"
1950,26.77,26.51,26.91,,,,,,,,,,,,,,,
1951,26.77,26.5,26.91,,,,,,,,,,,,,,,
1952,26.72,26.55,26.91,,,,,,,,,,,,,,,
1953,26.73,26.47,26.94,,,,,,,,,,,,,,,
1954,26.68,26.47,26.88,,,,,,,,,,,,,,,
1955,26.72,26.41,26.89,,,,,,,,,,,,,,,
1956,26.71,26.55,26.92,,,,,,,,,,,,,,,
1957,26.73,26.49,27.03,,,,,,,,,,,,,,,
1958,26.75,26.54,26.94,,,,,,,,,,,,,,,
1959,26.7,26.49,26.98,,,,,,,,,,,,,,,
1960,26.74,26.6,26.97,,,,,,,,,,,,,,,
1961,26.75,26.51,26.95,,,,,,,,,,,,,,,
1962,26.68,26.43,26.9,,,,,,,,,,,,,,,
1963,26.58,26.34,26.77,,,,,,,,,,,,,,,
1964,26.57,26.28,26.82,,,,,,,,,,,,,,,
1965,26.58,26.35,26.92,,,,,,,,,,,,,,,
1966,26.65,26.49,26.94,,,,,,,,,,,,,,,
1967,26.59,26.4,26.78,,,,,,,,,,,,,,,
1968,26.63,26.41,26.81,,,,,,,,,,,,,,,
1969,26.71,26.39,26.87,,,,,,,,,,,,,,,
1970,26.69,26.48,26.91,,,,,,,,,,,,,,,
1971,26.7,26.51,26.93,,,,,,,,,,,,,,,
1972,26.68,26.33,26.83,,,,,,,,,,,,,,,
1973,26.79,26.5,26.98,,,,,,,,,,,,,,,
1974,26.69,26.45,26.95,,,,,,,,,,,,,,,
1975,26.71,26.4,27.02,,,,,,,,,,,,,,,
1976,26.71,26.55,26.95,,,,,,,,,,,,,,,
1977,26.77,26.64,26.93,,,,,,,,,,,,,,,
1978,26.74,26.58,26.89,,,,,,,,,,,,,,,
1979,26.81,26.55,26.95,,,,,,,,,,,,,,,
1980,26.71,26.55,27.03,,,,,,,,,,,,,,,
1981,26.85,26.62,26.96,,,,,,,,,,,,,,,
1982,26.79,26.55,26.97,,,,,,,,,,,,,,,
1983,26.69,26.48,26.92,,,,,,,,,,,,,,,
1984,26.8,26.49,26.94,,,,,,,,,,,,,,,
1985,26.75,26.5,26.89,,,,,,,,,,,,,,,
1986,26.78,26.63,27.02,,,,,,,,,,,,,,,
1987,26.8,26.68,27.05,,,,,,,,,,,,,,,
1988,26.85,26.63,27.07,,,,,,,,,,,,,,,
1989,26.88,26.65,26.98,,,,,,,,,,,,,,,
1990,26.96,26.74,27.1,,,,,,,,,,,,,,,
1991,26.81,26.64,27.08,,,,,,,,,,,,,,,
1992,26.55,26.38,26.81,,,,,,,,,,,,,,,
1993,26.72,26.49,26.98,,,,,,,,,,,,,,,
1994,26.72,26.56,27.03,,,,,,,,,,,,,,,
1995,26.84,26.58,27.03,,,,,,,,,,,,,,,
1996,26.84,26.65,27.06,,,,,,,,,,,,,,,
1997,26.88,26.64,27.13,,,,,,,,,,,,,,,
1998,26.99,26.66,27.13,,,,,,,,,,,,,,,
1999,26.92,26.69,27.17,,,,,,,,,,,,,,,
2000,27.03,26.78,27.3,,,,,,,,,,,,,,,
2001,27.08,26.79,27.26,,,,,,,,,,,,,,,
2002,27,26.87,27.29,,,,,,,,,,,,,,,
2003,27.04,26.77,27.26,,,,,,,,,,,,,,,
2004,27.12,26.8,27.24,,,,,,,,,,,,,,,
2005,27.07,26.81,27.25,,,,,,,,,,,,,,,
2006,27,26.82,27.25,,,,,,,,,,,,,,,
2007,27.07,26.92,27.26,,,,,,,,,,,,,,,
2008,27.09,26.84,27.3,,,,,,,,,,,,,,,
2009,27.1,26.83,27.32,,,,,,,,,,,,,,,
2010,27.17,26.94,27.36,,,,,,,,,,,,,,,
2011,27.19,26.92,27.37,,,,,,,,,,,,,,,
2012,27.2,26.96,27.46,,,,,,,,,,,,,,,
2013,27.2,26.98,27.44,,,,,,,,,,,,,,,
